"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",18,8,307,130,3504,12,70,1,"chevrolet chevelle malibu"
"2",15,8,350,165,3693,11.5,70,1,"buick skylark 320"
"3",18,8,318,150,3436,11,70,1,"plymouth satellite"
"4",16,8,304,150,3433,12,70,1,"amc rebel sst"
"5",17,8,302,140,3449,10.5,70,1,"ford torino"
"6",15,8,429,198,4341,10,70,1,"ford galaxie 500"
"7",14,8,454,220,4354,9,70,1,"chevrolet impala"
"8",14,8,440,215,4312,8.5,70,1,"plymouth fury iii"
"9",14,8,455,225,4425,10,70,1,"pontiac catalina"
"10",15,8,390,190,3850,8.5,70,1,"amc ambassador dpl"
"11",NA,4,133,115,3090,17.5,70,2,"citroen ds-21 pallas"
"12",NA,8,350,165,4142,11.5,70,1,"chevrolet chevelle concours (sw)"
"13",NA,8,351,153,4034,11,70,1,"ford torino (sw)"
"14",NA,8,383,175,4166,10.5,70,1,"plymouth satellite (sw)"
"15",NA,8,360,175,3850,11,70,1,"amc rebel sst (sw)"
"16",15,8,383,170,3563,10,70,1,"dodge challenger se"
"17",14,8,340,160,3609,8,70,1,"plymouth 'cuda 340"
"18",NA,8,302,140,3353,8,70,1,"ford mustang boss 302"
"19",15,8,400,150,3761,9.5,70,1,"chevrolet monte carlo"
"20",14,8,455,225,3086,10,70,1,"buick estate wagon (sw)"
"21",24,4,113,95,2372,15,70,3,"toyota corona mark ii"
"22",22,6,198,95,2833,15.5,70,1,"plymouth duster"
"23",18,6,199,97,2774,15.5,70,1,"amc hornet"
"24",21,6,200,85,2587,16,70,1,"ford maverick"
"25",27,4,97,88,2130,14.5,70,3,"datsun pl510"
"26",26,4,97,46,1835,20.5,70,2,"volkswagen 1131 deluxe sedan"
"27",25,4,110,87,2672,17.5,70,2,"peugeot 504"
"28",24,4,107,90,2430,14.5,70,2,"audi 100 ls"
"29",25,4,104,95,2375,17.5,70,2,"saab 99e"
"30",26,4,121,113,2234,12.5,70,2,"bmw 2002"
"31",21,6,199,90,2648,15,70,1,"amc gremlin"
"32",10,8,360,215,4615,14,70,1,"ford f250"
"33",10,8,307,200,4376,15,70,1,"chevy c20"
"34",11,8,318,210,4382,13.5,70,1,"dodge d200"
"35",9,8,304,193,4732,18.5,70,1,"hi 1200d"
"36",27,4,97,88,2130,14.5,71,3,"datsun pl510"
"37",28,4,140,90,2264,15.5,71,1,"chevrolet vega 2300"
"38",25,4,113,95,2228,14,71,3,"toyota corona"
"39",25,4,98,NA,2046,19,71,1,"ford pinto"
"40",NA,4,97,48,1978,20,71,2,"volkswagen super beetle 117"
"41",19,6,232,100,2634,13,71,1,"amc gremlin"
"42",16,6,225,105,3439,15.5,71,1,"plymouth satellite custom"
"43",17,6,250,100,3329,15.5,71,1,"chevrolet chevelle malibu"
"44",19,6,250,88,3302,15.5,71,1,"ford torino 500"
"45",18,6,232,100,3288,15.5,71,1,"amc matador"
"46",14,8,350,165,4209,12,71,1,"chevrolet impala"
"47",14,8,400,175,4464,11.5,71,1,"pontiac catalina brougham"
"48",14,8,351,153,4154,13.5,71,1,"ford galaxie 500"
"49",14,8,318,150,4096,13,71,1,"plymouth fury iii"
"50",12,8,383,180,4955,11.5,71,1,"dodge monaco (sw)"
"51",13,8,400,170,4746,12,71,1,"ford country squire (sw)"
"52",13,8,400,175,5140,12,71,1,"pontiac safari (sw)"
"53",18,6,258,110,2962,13.5,71,1,"amc hornet sportabout (sw)"
"54",22,4,140,72,2408,19,71,1,"chevrolet vega (sw)"
"55",19,6,250,100,3282,15,71,1,"pontiac firebird"
"56",18,6,250,88,3139,14.5,71,1,"ford mustang"
"57",23,4,122,86,2220,14,71,1,"mercury capri 2000"
"58",28,4,116,90,2123,14,71,2,"opel 1900"
"59",30,4,79,70,2074,19.5,71,2,"peugeot 304"
"60",30,4,88,76,2065,14.5,71,2,"fiat 124b"
"61",31,4,71,65,1773,19,71,3,"toyota corolla 1200"
"62",35,4,72,69,1613,18,71,3,"datsun 1200"
"63",27,4,97,60,1834,19,71,2,"volkswagen model 111"
"64",26,4,91,70,1955,20.5,71,1,"plymouth cricket"
"65",24,4,113,95,2278,15.5,72,3,"toyota corona hardtop"
"66",25,4,97.5,80,2126,17,72,1,"dodge colt hardtop"
"67",23,4,97,54,2254,23.5,72,2,"volkswagen type 3"
"68",20,4,140,90,2408,19.5,72,1,"chevrolet vega"
"69",21,4,122,86,2226,16.5,72,1,"ford pinto runabout"
"70",13,8,350,165,4274,12,72,1,"chevrolet impala"
"71",14,8,400,175,4385,12,72,1,"pontiac catalina"
"72",15,8,318,150,4135,13.5,72,1,"plymouth fury iii"
"73",14,8,351,153,4129,13,72,1,"ford galaxie 500"
"74",17,8,304,150,3672,11.5,72,1,"amc ambassador sst"
"75",11,8,429,208,4633,11,72,1,"mercury marquis"
"76",13,8,350,155,4502,13.5,72,1,"buick lesabre custom"
"77",12,8,350,160,4456,13.5,72,1,"oldsmobile delta 88 royale"
"78",13,8,400,190,4422,12.5,72,1,"chrysler newport royal"
"79",19,3,70,97,2330,13.5,72,3,"mazda rx2 coupe"
"80",15,8,304,150,3892,12.5,72,1,"amc matador (sw)"
"81",13,8,307,130,4098,14,72,1,"chevrolet chevelle concours (sw)"
"82",13,8,302,140,4294,16,72,1,"ford gran torino (sw)"
"83",14,8,318,150,4077,14,72,1,"plymouth satellite custom (sw)"
"84",18,4,121,112,2933,14.5,72,2,"volvo 145e (sw)"
"85",22,4,121,76,2511,18,72,2,"volkswagen 411 (sw)"
"86",21,4,120,87,2979,19.5,72,2,"peugeot 504 (sw)"
"87",26,4,96,69,2189,18,72,2,"renault 12 (sw)"
"88",22,4,122,86,2395,16,72,1,"ford pinto (sw)"
"89",28,4,97,92,2288,17,72,3,"datsun 510 (sw)"
"90",23,4,120,97,2506,14.5,72,3,"toyouta corona mark ii (sw)"
"91",28,4,98,80,2164,15,72,1,"dodge colt (sw)"
"92",27,4,97,88,2100,16.5,72,3,"toyota corolla 1600 (sw)"
"93",13,8,350,175,4100,13,73,1,"buick century 350"
"94",14,8,304,150,3672,11.5,73,1,"amc matador"
"95",13,8,350,145,3988,13,73,1,"chevrolet malibu"
"96",14,8,302,137,4042,14.5,73,1,"ford gran torino"
"97",15,8,318,150,3777,12.5,73,1,"dodge coronet custom"
"98",12,8,429,198,4952,11.5,73,1,"mercury marquis brougham"
"99",13,8,400,150,4464,12,73,1,"chevrolet caprice classic"
"100",13,8,351,158,4363,13,73,1,"ford ltd"
"101",14,8,318,150,4237,14.5,73,1,"plymouth fury gran sedan"
"102",13,8,440,215,4735,11,73,1,"chrysler new yorker brougham"
"103",12,8,455,225,4951,11,73,1,"buick electra 225 custom"
"104",13,8,360,175,3821,11,73,1,"amc ambassador brougham"
"105",18,6,225,105,3121,16.5,73,1,"plymouth valiant"
"106",16,6,250,100,3278,18,73,1,"chevrolet nova custom"
"107",18,6,232,100,2945,16,73,1,"amc hornet"
"108",18,6,250,88,3021,16.5,73,1,"ford maverick"
"109",23,6,198,95,2904,16,73,1,"plymouth duster"
"110",26,4,97,46,1950,21,73,2,"volkswagen super beetle"
"111",11,8,400,150,4997,14,73,1,"chevrolet impala"
"112",12,8,400,167,4906,12.5,73,1,"ford country"
"113",13,8,360,170,4654,13,73,1,"plymouth custom suburb"
"114",12,8,350,180,4499,12.5,73,1,"oldsmobile vista cruiser"
"115",18,6,232,100,2789,15,73,1,"amc gremlin"
"116",20,4,97,88,2279,19,73,3,"toyota carina"
"117",21,4,140,72,2401,19.5,73,1,"chevrolet vega"
"118",22,4,108,94,2379,16.5,73,3,"datsun 610"
"119",18,3,70,90,2124,13.5,73,3,"maxda rx3"
"120",19,4,122,85,2310,18.5,73,1,"ford pinto"
"121",21,6,155,107,2472,14,73,1,"mercury capri v6"
"122",26,4,98,90,2265,15.5,73,2,"fiat 124 sport coupe"
"123",15,8,350,145,4082,13,73,1,"chevrolet monte carlo s"
"124",16,8,400,230,4278,9.5,73,1,"pontiac grand prix"
"125",29,4,68,49,1867,19.5,73,2,"fiat 128"
"126",24,4,116,75,2158,15.5,73,2,"opel manta"
"127",20,4,114,91,2582,14,73,2,"audi 100ls"
"128",19,4,121,112,2868,15.5,73,2,"volvo 144ea"
"129",15,8,318,150,3399,11,73,1,"dodge dart custom"
"130",24,4,121,110,2660,14,73,2,"saab 99le"
"131",20,6,156,122,2807,13.5,73,3,"toyota mark ii"
"132",11,8,350,180,3664,11,73,1,"oldsmobile omega"
"133",20,6,198,95,3102,16.5,74,1,"plymouth duster"
"134",21,6,200,NA,2875,17,74,1,"ford maverick"
"135",19,6,232,100,2901,16,74,1,"amc hornet"
"136",15,6,250,100,3336,17,74,1,"chevrolet nova"
"137",31,4,79,67,1950,19,74,3,"datsun b210"
"138",26,4,122,80,2451,16.5,74,1,"ford pinto"
"139",32,4,71,65,1836,21,74,3,"toyota corolla 1200"
"140",25,4,140,75,2542,17,74,1,"chevrolet vega"
"141",16,6,250,100,3781,17,74,1,"chevrolet chevelle malibu classic"
"142",16,6,258,110,3632,18,74,1,"amc matador"
"143",18,6,225,105,3613,16.5,74,1,"plymouth satellite sebring"
"144",16,8,302,140,4141,14,74,1,"ford gran torino"
"145",13,8,350,150,4699,14.5,74,1,"buick century luxus (sw)"
"146",14,8,318,150,4457,13.5,74,1,"dodge coronet custom (sw)"
"147",14,8,302,140,4638,16,74,1,"ford gran torino (sw)"
"148",14,8,304,150,4257,15.5,74,1,"amc matador (sw)"
"149",29,4,98,83,2219,16.5,74,2,"audi fox"
"150",26,4,79,67,1963,15.5,74,2,"volkswagen dasher"
"151",26,4,97,78,2300,14.5,74,2,"opel manta"
"152",31,4,76,52,1649,16.5,74,3,"toyota corona"
"153",32,4,83,61,2003,19,74,3,"datsun 710"
"154",28,4,90,75,2125,14.5,74,1,"dodge colt"
"155",24,4,90,75,2108,15.5,74,2,"fiat 128"
"156",26,4,116,75,2246,14,74,2,"fiat 124 tc"
"157",24,4,120,97,2489,15,74,3,"honda civic"
"158",26,4,108,93,2391,15.5,74,3,"subaru"
"159",31,4,79,67,2000,16,74,2,"fiat x1.9"
"160",19,6,225,95,3264,16,75,1,"plymouth valiant custom"
"161",18,6,250,105,3459,16,75,1,"chevrolet nova"
"162",15,6,250,72,3432,21,75,1,"mercury monarch"
"163",15,6,250,72,3158,19.5,75,1,"ford maverick"
"164",16,8,400,170,4668,11.5,75,1,"pontiac catalina"
"165",15,8,350,145,4440,14,75,1,"chevrolet bel air"
"166",16,8,318,150,4498,14.5,75,1,"plymouth grand fury"
"167",14,8,351,148,4657,13.5,75,1,"ford ltd"
"168",17,6,231,110,3907,21,75,1,"buick century"
"169",16,6,250,105,3897,18.5,75,1,"chevroelt chevelle malibu"
"170",15,6,258,110,3730,19,75,1,"amc matador"
"171",18,6,225,95,3785,19,75,1,"plymouth fury"
"172",21,6,231,110,3039,15,75,1,"buick skyhawk"
"173",20,8,262,110,3221,13.5,75,1,"chevrolet monza 2+2"
"174",13,8,302,129,3169,12,75,1,"ford mustang ii"
"175",29,4,97,75,2171,16,75,3,"toyota corolla"
"176",23,4,140,83,2639,17,75,1,"ford pinto"
